Stn Id,Stn Name,CIMIS Region,Date,Jul,ETo (mm),qc,Precip (mm),qc,Sol Rad (W/sq.m),qc,Avg Vap Pres (kPa),qc,Max Air Temp (C),qc,Min Air Temp (C),qc,Avg Air Temp (C),qc,Max Rel Hum (%),qc,Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Dew Point (C),qc,Avg Wind Speed (m/s),qc,Wind Run (km),qc,Avg Soil Temp (C),qc
226,Woodland,Sacramento Valley,5/2/2025,122,5.55, ,0.00, ,311, ,1.2, ,28.0, ,9.3, ,17.5, ,84, ,36, ,62, ,10.0, ,2.3, ,195.3, ,20.4, 
226,Woodland,Sacramento Valley,5/3/2025,123,4.75, ,0.00, ,265, ,1.2, ,24.4, ,11.6, ,16.9, ,78, ,45, ,62, ,9.7, ,1.9, ,166.1, ,20.1, 
226,Woodland,Sacramento Valley,5/4/2025,124,7.45, ,0.00, ,318, ,0.9, ,26.1, ,10.6, ,19.6, ,79, ,19, ,38, ,4.8, ,4.0, ,349.3, ,18.9, 
226,Woodland,Sacramento Valley,5/5/2025,125,8.81, ,0.00, ,328, ,0.6, ,29.0, ,16.3, ,22.5, ,27, ,15, ,20, ,-1.3, ,4.4, ,380.1, ,18.4, 
226,Woodland,Sacramento Valley,5/6/2025,126,7.94, ,0.00, ,342,R,0.7, ,30.1, ,14.1, ,22.8, ,55, ,13, ,24, ,1.1, ,3.1, ,270.5, ,19.2, 
226,Woodland,Sacramento Valley,5/7/2025,127,5.73, ,0.00, ,328, ,1.2, ,25.4, ,9.1, ,17.6, ,80, ,41, ,60, ,9.8, ,1.9, ,164.3, ,19.9, 
226,Woodland,Sacramento Valley,5/8/2025,128,5.60, ,0.00, ,330, ,1.4, ,32.0, ,9.0, ,19.6, ,86, ,28, ,59, ,11.5, ,1.2, ,101.7, ,20.4, 
226,Woodland,Sacramento Valley,5/9/2025,129,6.25, ,0.00, ,334, ,1.3, ,33.4, ,11.5, ,22.4, ,76, ,20, ,47, ,10.4, ,1.2, ,104.3, ,21.7, 
226,Woodland,Sacramento Valley,5/10/2025,130,6.70, ,0.00, ,335, ,1.0, ,33.7, ,11.0, ,23.7, ,71, ,17, ,35, ,7.5, ,1.5, ,127.6, ,22.2, 
226,Woodland,Sacramento Valley,5/11/2025,131,6.89, ,0.00, ,335, ,0.9, ,24.7, ,12.3, ,18.8, ,59, ,24, ,39, ,4.7, ,3.1, ,268.1, ,21.4, 
226,Woodland,Sacramento Valley,5/12/2025,132,4.66, ,1.50, ,259, ,1.1, ,20.0, ,11.2, ,14.4, ,85, ,44, ,66, ,8.2, ,3.3, ,288.9, ,19.4, 
226,Woodland,Sacramento Valley,5/13/2025,133,5.23, ,0.00, ,312, ,1.1, ,23.8, ,10.3, ,16.4, ,86, ,28, ,58, ,8.0, ,1.8, ,155.9, ,19.4, 
226,Woodland,Sacramento Valley,5/14/2025,134,5.29, ,0.00, ,306, ,1.1, ,26.5, ,9.2, ,18.0, ,81, ,27, ,53, ,8.3, ,1.3, ,115.3, ,20.2, 
226,Woodland,Sacramento Valley,5/15/2025,135,6.13, ,0.00, ,329, ,1.2, ,28.8, ,11.2, ,20.2, ,80, ,29, ,51, ,9.8, ,1.7, ,142.6, ,21.0, 
226,Woodland,Sacramento Valley,5/16/2025,136,6.05, ,0.00, ,323, ,1.2, ,29.6, ,11.3, ,20.8, ,75, ,29, ,50, ,10.0, ,1.7, ,146.4, ,21.8, 
226,Woodland,Sacramento Valley,5/17/2025,137,5.49, ,0.00, ,283, ,1.1, ,26.0, ,14.0, ,19.6, ,71, ,33, ,50, ,8.9, ,2.1, ,182.9, ,21.6, 
226,Woodland,Sacramento Valley,5/18/2025,138,7.15, ,0.00, ,345, ,0.9, ,28.1, ,11.8, ,20.9, ,75, ,19, ,37, ,5.7, ,2.8, ,239.4, ,20.8, 
226,Woodland,Sacramento Valley,5/19/2025,139,7.02, ,0.00, ,342, ,1.2, ,32.0, ,12.1, ,23.2, ,62, ,25, ,41, ,9.1, ,2.2, ,192.1, ,21.7, 
226,Woodland,Sacramento Valley,5/20/2025,140,6.68, ,0.00, ,353,R,0.9, ,31.5, ,13.2, ,22.2, ,61, ,14, ,33, ,5.3, ,1.6, ,139.5, ,22.1, 
226,Woodland,Sacramento Valley,5/21/2025,141,6.89, ,0.00, ,347, ,1.1, ,32.0, ,11.3, ,22.6, ,70, ,21, ,40, ,8.1, ,1.8, ,152.7, ,22.4, 
226,Woodland,Sacramento Valley,5/22/2025,142,7.06, ,0.00, ,351, ,0.9, ,29.4, ,12.6, ,21.9, ,59, ,20, ,35, ,5.8, ,2.1, ,184.9, ,22.9, 
226,Woodland,Sacramento Valley,5/23/2025,143,5.81, ,0.00, ,349, ,1.1, ,27.3, ,9.2, ,17.7, ,80, ,29, ,55, ,8.6, ,1.7, ,147.4, ,22.2, 
226,Woodland,Sacramento Valley,5/24/2025,144,6.38, ,0.00, ,340, ,1.3, ,29.1, ,10.2, ,19.2, ,82, ,36, ,57, ,10.4, ,2.1, ,180.7, ,22.5, 
226,Woodland,Sacramento Valley,5/25/2025,145,5.89, ,0.00, ,329, ,1.2, ,28.1, ,9.6, ,18.1, ,82, ,38, ,60, ,10.1, ,1.8, ,153.3, ,22.5, 
226,Woodland,Sacramento Valley,5/26/2025,146,5.83, ,0.00, ,336, ,1.2, ,27.2, ,11.2, ,18.9, ,75, ,35, ,55, ,9.7, ,1.7, ,145.5, ,22.7, 
226,Woodland,Sacramento Valley,5/27/2025,147,6.42, ,0.00, ,339, ,1.3, ,31.0, ,11.3, ,21.3, ,83, ,28, ,53, ,11.3, ,1.6, ,138.9, ,23.2, 
226,Woodland,Sacramento Valley,5/28/2025,148,6.53, ,0.00, ,338, ,1.3, ,30.6, ,12.1, ,20.6, ,78, ,35, ,54, ,11.0, ,2.1, ,182.7, ,23.4, 
226,Woodland,Sacramento Valley,5/29/2025,149,6.18, ,0.00, ,338, ,1.4, ,34.5, ,11.1, ,22.0, ,81, ,21, ,53, ,11.9, ,1.5, ,129.6, ,23.5, 
226,Woodland,Sacramento Valley,5/30/2025,150,6.62, ,0.00, ,328, ,1.7, ,37.4, ,14.6, ,26.0, ,80, ,27, ,50, ,14.8, ,1.4, ,120.4, ,24.5, 
226,Woodland,Sacramento Valley,5/31/2025,151,7.20, ,0.00, ,341, ,1.7, ,37.7, ,16.9, ,27.4, ,66, ,25, ,47, ,15.0, ,1.7, ,146.4, ,25.4, 
226,Woodland,Sacramento Valley,6/1/2025,152,6.93, ,0.00, ,344, ,1.4, ,31.5, ,13.1, ,22.3, ,71, ,34, ,52, ,12.0, ,2.2, ,194.1, ,24.7, 
226,Woodland,Sacramento Valley,6/2/2025,153,6.54, ,0.00, ,341, ,1.3, ,32.5, ,11.2, ,21.3, ,82, ,24, ,52, ,11.0, ,1.8, ,154.0, ,24.1, 
226,Woodland,Sacramento Valley,6/3/2025,154,6.35, ,0.00, ,341, ,1.4, ,33.7, ,13.2, ,22.4, ,75, ,23, ,52, ,11.9, ,1.6, ,136.2, ,24.1, 
226,Woodland,Sacramento Valley,6/4/2025,155,6.88, ,0.00, ,339, ,1.3, ,35.3, ,13.9, ,23.6, ,77, ,18, ,46, ,11.3, ,1.8, ,158.5, ,24.3, 
226,Woodland,Sacramento Valley,6/5/2025,156,6.29, ,0.00, ,339, ,1.5, ,30.9, ,12.9, ,21.0, ,81, ,39, ,59, ,12.8, ,1.7, ,150.5, ,23.9, 
226,Woodland,Sacramento Valley,6/6/2025,157,6.21, ,0.00, ,334, ,1.6, ,32.4, ,12.0, ,21.4, ,88, ,36, ,62, ,14.0, ,1.6, ,134.3, ,23.6, 
226,Woodland,Sacramento Valley,6/7/2025,158,6.38, ,0.00, ,332, ,1.7, ,34.1, ,13.0, ,22.6, ,86, ,42, ,62, ,14.9, ,1.8, ,153.1, ,24.4, 
226,Woodland,Sacramento Valley,6/8/2025,159,6.12, ,0.00, ,314, ,1.6, ,31.9, ,12.8, ,21.5, ,83, ,39, ,62, ,13.9, ,2.0, ,175.5, ,24.6, 
226,Woodland,Sacramento Valley,6/9/2025,160,6.66, ,0.00, ,324, ,1.7, ,34.6, ,13.3, ,22.7, ,86, ,40, ,61, ,14.6, ,2.3, ,197.4, ,24.5, 
226,Woodland,Sacramento Valley,6/10/2025,161,6.34, ,0.00, ,328, ,1.6, ,32.0, ,13.5, ,21.3, ,87, ,42, ,63, ,14.1, ,2.0, ,174.0, ,24.6, 
226,Woodland,Sacramento Valley,6/11/2025,162,6.45, ,0.00, ,341, ,1.3, ,30.1, ,10.7, ,19.5, ,81, ,35, ,57, ,10.9, ,2.2, ,192.0, ,24.1, 
226,Woodland,Sacramento Valley,6/12/2025,163,6.46, ,0.00, ,339, ,1.3, ,30.4, ,10.6, ,20.4, ,80, ,35, ,55, ,11.1, ,1.9, ,166.2, ,23.8, 
226,Woodland,Sacramento Valley,6/13/2025,164,6.72, ,0.00, ,347, ,1.2, ,31.0, ,11.3, ,20.6, ,74, ,20, ,48, ,9.1, ,2.2, ,192.4, ,23.8, 
226,Woodland,Sacramento Valley,6/14/2025,165,6.21, ,0.00, ,335, ,1.2, ,29.2, ,10.5, ,19.7, ,77, ,32, ,54, ,10.1, ,1.6, ,139.0, ,23.6, 
226,Woodland,Sacramento Valley,6/15/2025,166,6.45, ,0.00, ,343, ,1.3, ,31.6, ,10.7, ,20.9, ,82, ,23, ,52, ,10.6, ,1.5, ,131.6, ,23.8, 
226,Woodland,Sacramento Valley,6/16/2025,167,6.55, ,0.00, ,341, ,1.3, ,31.1, ,11.8, ,21.1, ,77, ,32, ,52, ,10.8, ,1.7, ,147.0, ,24.2, 
226,Woodland,Sacramento Valley,6/17/2025,168,6.78, ,0.00, ,347, ,1.3, ,33.3, ,11.6, ,22.6, ,75, ,24, ,47, ,10.5, ,1.5, ,125.8, ,24.3, 
226,Woodland,Sacramento Valley,6/18/2025,169,6.95, ,0.00, ,343, ,1.5, ,36.3, ,13.8, ,25.3, ,74, ,26, ,47, ,13.2, ,1.3, ,112.8, ,24.9, 
226,Woodland,Sacramento Valley,6/19/2025,170,7.39, ,0.00, ,351, ,1.3, ,31.8, ,13.9, ,22.1, ,71, ,30, ,49, ,10.9, ,2.7, ,231.6, ,24.8, 
226,Woodland,Sacramento Valley,6/20/2025,171,6.83, ,0.00, ,345, ,1.1, ,29.0, ,11.0, ,19.7, ,78, ,20, ,47, ,8.0, ,2.3, ,195.0, ,23.7, 
226,Woodland,Sacramento Valley,6/21/2025,172,7.37, ,0.00, ,356, ,0.8, ,26.7, ,11.4, ,20.1, ,56, ,18, ,35, ,4.0, ,2.6, ,227.4, ,22.8, 
226,Woodland,Sacramento Valley,6/22/2025,173,7.52, ,0.00, ,350, ,0.9, ,28.1, ,14.6, ,21.8, ,55, ,22, ,34, ,5.1, ,2.7, ,230.7, ,22.7, 
226,Woodland,Sacramento Valley,6/23/2025,174,7.19, ,0.00, ,344, ,1.1, ,33.7, ,11.8, ,23.2, ,67, ,16, ,40, ,9.0, ,1.8, ,157.4, ,23.0, 
226,Woodland,Sacramento Valley,6/24/2025,175,6.73, ,0.00, ,351, ,1.3, ,31.0, ,12.5, ,20.7, ,78, ,29, ,53, ,10.9, ,2.1, ,179.6, ,23.5, 
226,Woodland,Sacramento Valley,6/25/2025,176,6.60, ,0.00, ,355, ,1.4, ,32.3, ,10.7, ,21.1, ,83, ,25, ,54, ,11.6, ,1.7, ,144.0, ,23.6, 
226,Woodland,Sacramento Valley,6/26/2025,177,6.54, ,0.00, ,350, ,1.4, ,32.9, ,12.3, ,22.0, ,81, ,25, ,54, ,12.3, ,1.7, ,147.5, ,23.8, 
226,Woodland,Sacramento Valley,6/27/2025,178,6.88, ,0.00, ,343, ,1.5, ,35.2, ,15.0, ,25.4, ,76, ,26, ,47, ,13.4, ,1.3, ,114.6, ,24.7, 
226,Woodland,Sacramento Valley,6/28/2025,179,7.33, ,0.00, ,344, ,1.6, ,36.4, ,17.2, ,27.2, ,74, ,26, ,45, ,14.3, ,1.7, ,143.9, ,25.6, 
226,Woodland,Sacramento Valley,6/29/2025,180,7.12, ,0.00, ,339, ,1.6, ,35.4, ,16.2, ,25.6, ,68, ,32, ,48, ,13.6, ,1.7, ,146.8, ,25.8, 
226,Woodland,Sacramento Valley,6/30/2025,181,6.96, ,0.00, ,340, ,1.6, ,35.0, ,16.2, ,24.5, ,71, ,30, ,51, ,13.6, ,1.8, ,154.1, ,25.6, 
226,Woodland,Sacramento Valley,7/1/2025,182,7.21, ,0.00, ,335, ,1.6, ,36.3, ,16.0, ,25.6, ,80, ,27, ,50, ,14.2, ,2.0, ,171.2, ,25.6, 
226,Woodland,Sacramento Valley,7/2/2025,183,7.24, ,0.00, ,340, ,1.7, ,36.3, ,16.4, ,25.6, ,73, ,32, ,50, ,14.5, ,1.9, ,165.2, ,25.9, 
226,Woodland,Sacramento Valley,7/3/2025,184,6.55, ,0.00, ,319, ,1.5, ,33.2, ,13.8, ,22.5, ,78, ,30, ,53, ,12.6, ,2.1, ,185.2, ,25.1, 
226,Woodland,Sacramento Valley,7/4/2025,185,7.02, ,0.00, ,335, ,1.2, ,30.2, ,13.6, ,21.0, ,75, ,28, ,48, ,9.6, ,2.7, ,232.7, ,24.2, 
226,Woodland,Sacramento Valley,7/5/2025,186,6.40, ,0.00, ,353, ,1.3, ,31.0, ,11.0, ,20.7, ,82, ,26, ,52, ,10.5, ,1.5, ,130.0, ,23.7, 
226,Woodland,Sacramento Valley,7/6/2025,187,6.76, ,0.00, ,344, ,1.3, ,33.7, ,11.6, ,23.2, ,81, ,19, ,45, ,10.6, ,1.4, ,121.1, ,24.5, 
226,Woodland,Sacramento Valley,7/7/2025,188,6.60, ,0.00, ,314, ,1.4, ,33.4, ,12.8, ,23.1, ,79, ,24, ,50, ,12.0, ,1.9, ,165.8, ,24.7, 
226,Woodland,Sacramento Valley,7/8/2025,189,6.71, ,0.00, ,322, ,1.2, ,31.9, ,13.3, ,22.1, ,73, ,24, ,46, ,10.0, ,2.2, ,185.8, ,24.4, 
226,Woodland,Sacramento Valley,7/9/2025,190,6.22, ,0.00, ,328, ,1.4, ,34.1, ,12.8, ,22.5, ,81, ,21, ,52, ,12.1, ,1.5, ,127.4, ,24.1, 
226,Woodland,Sacramento Valley,7/10/2025,191,6.89, ,0.00, ,322, ,1.6, ,36.8, ,15.5, ,26.7, ,78, ,24, ,46, ,14.1, ,1.3, ,114.0, ,24.9, 
226,Woodland,Sacramento Valley,7/11/2025,192,6.94, ,0.00, ,314, ,1.7, ,37.9, ,17.9, ,27.5, ,71, ,25, ,46, ,14.9, ,1.6, ,137.2, ,25.8, 
226,Woodland,Sacramento Valley,7/12/2025,193,6.76, ,0.00, ,314, ,1.7, ,36.1, ,17.1, ,25.7, ,72, ,33, ,51, ,14.8, ,1.9, ,163.8, ,26.0, 
226,Woodland,Sacramento Valley,7/13/2025,194,4.91, ,0.00, ,222, ,1.6, ,35.0, ,15.1, ,24.5, ,73, ,35, ,51, ,13.8, ,1.9, ,160.8, ,25.8, 
226,Woodland,Sacramento Valley,7/14/2025,195,4.46, ,0.00, ,188, ,1.5, ,36.5, ,14.0, ,24.5, ,77, ,28, ,49, ,13.1, ,1.8, ,156.9, ,25.6, 
226,Woodland,Sacramento Valley,7/15/2025,196,4.08, ,0.00, ,180, ,1.5, ,32.0, ,14.5, ,22.1, ,77, ,37, ,57, ,13.2, ,2.2, ,194.0, ,25.3, 
226,Woodland,Sacramento Valley,7/16/2025,197,4.02, ,0.00, ,181, ,1.5, ,29.4, ,14.1, ,21.3, ,79, ,41, ,59, ,13.0, ,2.3, ,195.4, ,24.6, 
226,Woodland,Sacramento Valley,7/17/2025,198,4.05, ,0.00, ,187, ,1.4, ,32.0, ,12.7, ,21.4, ,83, ,19, ,55, ,11.9, ,1.9, ,164.4, ,24.2, 
226,Woodland,Sacramento Valley,7/18/2025,199,4.45, ,0.00, ,207, ,1.5, ,33.5, ,13.1, ,22.7, ,80, ,29, ,53, ,12.7, ,1.6, ,142.1, ,24.3, 
226,Woodland,Sacramento Valley,7/19/2025,200,4.28, ,0.00, ,203, ,1.4, ,34.0, ,12.6, ,22.2, ,81, ,26, ,53, ,12.2, ,1.8, ,153.9, ,24.6, 
226,Woodland,Sacramento Valley,7/20/2025,201,4.31, ,0.00, ,207, ,1.5, ,31.4, ,12.4, ,21.2, ,84, ,37, ,61, ,13.3, ,2.1, ,181.9, ,24.6, 
226,Woodland,Sacramento Valley,7/21/2025,202,4.39, ,0.00, ,198, ,1.5, ,29.2, ,13.9, ,20.9, ,81, ,40, ,60, ,12.8, ,2.6, ,227.9, ,24.2, 
226,Woodland,Sacramento Valley,7/22/2025,203,4.34, ,0.00, ,213, ,1.4, ,27.5,Y,14.4, ,20.2, ,80, ,39, ,61, ,12.4, ,2.4, ,204.8, ,23.9, 
226,Woodland,Sacramento Valley,7/23/2025,204,4.11, ,0.00, ,205, ,1.4, ,28.9, ,12.9, ,20.1, ,82, ,38, ,61, ,12.4, ,2.2, ,188.4, ,23.6, 
226,Woodland,Sacramento Valley,7/24/2025,205,4.26, ,0.00, ,199, ,1.5, ,30.9, ,12.7, ,21.4, ,81, ,35, ,57, ,12.6, ,2.1, ,181.4, ,23.6, 
226,Woodland,Sacramento Valley,7/25/2025,206,5.76, ,0.00, ,269, ,1.5, ,31.6, ,14.4, ,21.4, ,78, ,34, ,58, ,12.8, ,2.6, ,223.3, ,23.8, 
226,Woodland,Sacramento Valley,7/26/2025,207,5.29, ,0.00, ,276, ,1.5, ,29.5, ,13.7, ,20.4, ,82, ,41, ,63, ,13.0, ,2.0, ,175.8, ,23.8, 
226,Woodland,Sacramento Valley,7/27/2025,208,5.42, ,0.00, ,282, ,1.5, ,30.0, ,13.4, ,20.8, ,83, ,43, ,63, ,13.5, ,2.1, ,179.8, ,23.9, 
226,Woodland,Sacramento Valley,7/28/2025,209,5.62, ,0.00, ,278, ,1.6, ,33.3, ,14.4, ,23.4, ,81, ,32, ,55, ,13.9, ,1.7, ,151.0, ,24.2, 
226,Woodland,Sacramento Valley,7/29/2025,210,6.23, ,0.00, ,289, ,1.5, ,35.3, ,15.2, ,24.2, ,76, ,25, ,49, ,12.8, ,1.9, ,162.4, ,24.6, 
226,Woodland,Sacramento Valley,7/30/2025,211,5.84, ,0.00, ,293, ,1.5, ,32.3, ,13.3, ,21.9, ,83, ,32, ,57, ,13.1, ,2.1, ,180.3, ,24.2, 
226,Woodland,Sacramento Valley,7/31/2025,212,5.93, ,0.00, ,299, ,1.6, ,34.6, ,13.4, ,23.2, ,85, ,27, ,55, ,13.8, ,1.5, ,133.2, ,24.3, 
226,Woodland,Sacramento Valley,8/1/2025,213,5.80, ,0.00, ,283, ,1.6, ,34.2, ,13.8, ,23.2, ,83, ,29, ,56, ,13.8, ,1.8, ,159.0, ,24.5, 
226,Woodland,Sacramento Valley,8/2/2025,214,5.72, ,0.00, ,288, ,1.6, ,34.5, ,13.4, ,23.3, ,82, ,27, ,55, ,13.8, ,1.7, ,144.3, ,24.5, 
226,Woodland,Sacramento Valley,8/3/2025,215,5.49, ,0.00, ,263, ,1.5, ,33.0, ,14.5, ,22.9, ,81, ,32, ,54, ,13.2, ,2.1, ,181.4, ,24.7, 
226,Woodland,Sacramento Valley,8/4/2025,216,5.91, ,0.00, ,288, ,1.3, ,31.8, ,13.9, ,22.1, ,73, ,28, ,49, ,10.8, ,1.9, ,163.3, ,24.0, 
226,Woodland,Sacramento Valley,8/5/2025,217,5.21, ,0.00, ,266, ,1.4, ,32.3, ,12.8, ,22.4, ,74, ,24, ,50, ,11.6, ,1.5, ,133.8, ,23.8, 
226,Woodland,Sacramento Valley,8/6/2025,218,5.08, ,0.00, ,240, ,1.4, ,35.7, ,15.1, ,25.2, ,74, ,21, ,43, ,11.6, ,1.4, ,122.4, ,24.2, 
226,Woodland,Sacramento Valley,8/7/2025,219,4.92, ,0.00, ,230, ,1.6, ,35.5, ,15.6, ,25.8, ,73, ,23, ,47, ,13.5, ,1.3, ,114.7, ,24.8, 
226,Woodland,Sacramento Valley,8/8/2025,220,5.08, ,0.00, ,216, ,1.5, ,38.8, ,16.5, ,27.7, ,76, ,17, ,41, ,13.3, ,1.4, ,125.0, ,25.0, 
226,Woodland,Sacramento Valley,8/9/2025,221,5.10, ,0.00, ,209, ,1.6, ,39.3, ,18.0, ,28.5, ,73, ,19, ,41, ,13.9, ,1.5, ,128.0, ,25.8, 
226,Woodland,Sacramento Valley,8/10/2025,222,4.87, ,0.00, ,212, ,1.6, ,38.5, ,15.5, ,26.8, ,75, ,23, ,45, ,14.0, ,1.5, ,126.6, ,25.9, 
226,Woodland,Sacramento Valley,8/11/2025,223,4.86, ,0.00, ,204, ,1.6, ,36.2, ,15.9, ,25.0, ,74, ,30, ,50, ,13.7, ,2.2, ,185.8, ,25.7, 
226,Woodland,Sacramento Valley,8/12/2025,224,4.78, ,0.00, ,213, ,1.6, ,35.1, ,14.8, ,23.5, ,79, ,32, ,54, ,13.7, ,2.0, ,176.4, ,25.1, 
226,Woodland,Sacramento Valley,8/13/2025,225,4.54, ,0.00, ,216, ,1.6, ,32.3, ,14.6, ,22.3, ,83, ,37, ,60, ,14.3, ,2.1, ,178.6, ,24.6, 
226,Woodland,Sacramento Valley,8/14/2025,226,3.90, ,0.00, ,198, ,1.6, ,33.5, ,13.4, ,21.9, ,87, ,33, ,61, ,14.2, ,1.5, ,131.9, ,24.1, 
226,Woodland,Sacramento Valley,8/15/2025,227,5.05, ,0.00, ,96, ,1.5, ,35.6, ,19.4,Y,27.0, ,76, ,26, ,43, ,13.3, ,2.9,Y,253.9,Y,,S
226,Woodland,Sacramento Valley,8/16/2025,228,4.47, ,0.00, ,207, ,1.8, ,31.0, ,16.2, ,22.9, ,83, ,43, ,63, ,15.5, ,2.5, ,213.4, ,,S
226,Woodland,Sacramento Valley,8/17/2025,229,4.86, ,0.00, ,210, ,1.4, ,30.6, ,15.7, ,21.9, ,74, ,30, ,54, ,12.1, ,2.6, ,221.3, ,,S
226,Woodland,Sacramento Valley,8/18/2025,230,4.39, ,0.00, ,216, ,1.3, ,31.1, ,11.6, ,21.0, ,81, ,25, ,52, ,10.7, ,1.6, ,140.7, ,,S
226,Woodland,Sacramento Valley,8/19/2025,231,4.47, ,0.00, ,212, ,1.2, ,34.1, ,11.7, ,22.4, ,77, ,18, ,45, ,9.9, ,1.4, ,118.0, ,,S
226,Woodland,Sacramento Valley,8/20/2025,232,4.66, ,0.00, ,208, ,1.4, ,38.3, ,14.4, ,25.7, ,77, ,20, ,43, ,12.3, ,1.4, ,116.7, ,,S
226,Woodland,Sacramento Valley,8/21/2025,233,6.38, ,0.00, ,283, ,1.4, ,39.0, ,15.7, ,27.6, ,68, ,20, ,39, ,12.5, ,1.5, ,126.1, ,,S
226,Woodland,Sacramento Valley,8/22/2025,234,6.17, ,0.00, ,295, ,1.4, ,39.2, ,15.9, ,27.2, ,71, ,16, ,38, ,11.7, ,1.4, ,117.0, ,,S
226,Woodland,Sacramento Valley,8/23/2025,235,6.32, ,0.00, ,272, ,1.4, ,39.1, ,18.0, ,27.2, ,68, ,17, ,40, ,12.3, ,1.7, ,147.1, ,,S
226,Woodland,Sacramento Valley,8/24/2025,236,6.16, ,0.00, ,282, ,1.5, ,37.4, ,17.5, ,26.0, ,69, ,22, ,44, ,12.7, ,1.6, ,138.3, ,,S
226,Woodland,Sacramento Valley,8/25/2025,237,6.04, ,0.00, ,281, ,1.6, ,38.3, ,16.9, ,26.3, ,72, ,26, ,47, ,13.9, ,1.6, ,136.9, ,,S
226,Woodland,Sacramento Valley,8/26/2025,238,6.26, ,0.00, ,273, ,1.4, ,36.1, ,17.7, ,25.7, ,71, ,16, ,43, ,12.3, ,2.1, ,179.5, ,,S
226,Woodland,Sacramento Valley,8/27/2025,239,6.27, ,0.00, ,283, ,1.3, ,34.5, ,16.9, ,24.9, ,64, ,15, ,40, ,10.4, ,1.9, ,166.1, ,,S
226,Woodland,Sacramento Valley,8/28/2025,240,5.68, ,0.00, ,287, ,1.3, ,36.7, ,13.8, ,24.4, ,73, ,17, ,42, ,10.6, ,1.2, ,107.5, ,,S
226,Woodland,Sacramento Valley,8/29/2025,241,5.56, ,0.00, ,280, ,1.4, ,36.0, ,14.0, ,24.3, ,75, ,20, ,46, ,12.0, ,1.2, ,107.0, ,,S
226,Woodland,Sacramento Valley,8/30/2025,242,5.78, ,0.00, ,276, ,1.3, ,38.3, ,15.1, ,26.5, ,72, ,15, ,39, ,11.3, ,1.1, ,94.0, ,,S
226,Woodland,Sacramento Valley,8/31/2025,243,6.18, ,0.00, ,279, ,1.1, ,39.2, ,16.7, ,27.5, ,63, ,9, ,31, ,8.7, ,1.3, ,114.9, ,,S
226,Woodland,Sacramento Valley,9/1/2025,244,5.75, ,0.00, ,273, ,1.4, ,39.9, ,15.8, ,27.4, ,68, ,15, ,38, ,11.8, ,1.2, ,105.2, ,,S
